Shalizi Cosma Rohilla
Crutchfield James P.
O'Rourke Joseph
Prasad L.
Schlei B. R.
Chelba Ciprian
Jelinek Frederick
Halpern Joseph Y.
Lakemeyer Gerhard
Lee Lillian
Berri J.
Molla D.
Hess M.
Durfee Edmund H.
Vidal Jose M.
Akuzawa Toshinao
Zadrozny Wlodek
Shen Yi-Dong
You Jia-Huai
Yuan Li-Yan
Saubion F.
Stephan I.
Nicolas P.
Ghrist Robert
Koditschek Daniel
East Deborah
Truszczynski Miroslaw
Denecker Marc
Marek Victor W.
Gotoh Yoshihiko
Renals Steve
Choi Freddy Y. Y.
Apt Krzysztof R.
Siebert Andreas
Monfroy Eric
Tung Anthony K. H.
Lee Jason W. H.
Tay Y. C.
Vandecasteele Henk
de Waal D. Andre
Bruynooghe Maurice
Schmeier Sven
Arens Roman G.
Busemann Stephan
Williams Mary-Anne
Sims Aidan
Castro L.
Warren D.
Brants Thorsten
Delgrande James
Schaub Torsten
Wassermann Renata
Miller Rob
Toni Francesca
Kakas Antonis
Cabarcos Manuel
Cabalar Pedro
Otero Ramon P.
Zhou Neng-Fa
Darwiche Adnan
Erdem Esra
Babovich Yuliya
Lifschitz Vladimir
Hartmann Stephan
Bovens Luc
Shapiro Stuart C.
Johnson Frances L.
Hietalahti Maarit
Niemela Ilkka
Massacci Fabio
Eiter Thomas
Tompits Hans
Egly Uwe
Woltran Stefan
Pfeifer Gerald
Faber Wolfgang
Koch Christoph
Leone Nicola
Brewka Gerhard
Simons Patrik
Syrjanen Tommi
Grosskreutz Henrik
Mercer Robert E.
Vodislav Carmen
Van Nuffelen Bert
Bouchon-Meunier Bernadette
Mellouli Nedra
Delgrande James P.
Lukasiewicz Thomas
Arlo-Costa Horacio
Chopra Samir
Georgatos Konstantinos
Parikh Rohit
Booth Richard
Dupre' Daniele Theseider
Meyer Thomas
ter Hofstede Arthur H. M.
Bruza Peter D.
Lau Raymond
Antoniou G.
Billigton D.
Governatori G.
Maher M. J.
Kern-Isberner Gabriele
Satoh Ken
Okamoto Hidenori
Pereira Fernando C.
Bialek William
Tishby Naftali
Eppstein David
Hutter Marcus
Vitanyi Paul
Gao Qiong
Li Ming
Wolf David R.
Walther Markus
